"","District Nr.","District","Nr. of charging stations","cycling length","Nr. of doctors","Nr. of street crossings"
"1",1,"Mitte",33,169677.4,66.7,33
"2",2,"Friedrichshain-Kreuzberg",13,90134.7,66.6,39
"3",3,"Pankow",8,161242.6,65.3,54
"4",4,"Charlottenburg-Wilmersdorf",31,169577.9,86.7,35
"5",5,"Spandau",15,165372.5,63.2,22
"6",6,"Steglitz-Zehlendorf",4,194599.2,67.3,31
"7",7,"Tempelhof-Schoeneberg",14,148588.8,73.5,19
"8",8,"Neukoelln",2,104444,59.5,25
"9",9,"Treptow-Koepenick",3,202059.2,53.2,32
"10",10,"Marzahn-Hellersdorf",1,118019.1,61.8,39
"11",11,"Lichtenberg",12,100257,51.8,22
"12",12,"Reinickendorf",5,140794.4,64.2,30
